survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,female,33.0,1,2,27.75,2,Unknown,Southampton,False
1,female,42.0,1,0,26.0,2,Unknown,Southampton,False
0,male,25.0,0,0,13.0,2,Unknown,Southampton,True
0,male,40.0,0,0,27.7208,1,Unknown,Cherbourg,True
1,female,19.0,1,0,91.0792,1,B,Cherbourg,False
1,female,42.0,0,0,13.0,2,Unknown,Southampton,True
0,male,30.0,1,0,24.0,2,Unknown,Cherbourg,False
1,male,25.0,1,0,55.4417,1,E,Cherbourg,False
1,female,39.0,1,1,83.1583,1,E,Cherbourg,False
0,male,24.0,0,0,79.2,1,B,Cherbourg,True
1,female,21.0,0,0,7.65,3,Unknown,Southampton,True
0,male,26.0,2,0,8.6625,3,Unknown,Southampton,False
0,male,17.0,0,0,8.6625,3,Unknown,Southampton,True
1,female,6.0,0,1,33.0,2,Unknown,Southampton,False
0,male,52.0,0,0,13.5,2,Unknown,Southampton,True
0,male,25.0,0,0,13.0,2,Unknown,Southampton,True
0,female,26.0,1,1,26.0,2,Unknown,Southampton,False
1,male,42.0,0,0,13.0,2,Unknown,Southampton,True
1,female,31.0,0,2,164.8667,1,C,Southampton,False
1,male,34.0,0,0,13.0,2,D,Southampton,True
0,male,36.0,0,0,10.5,2,Unknown,Southampton,True
1,female,28.0,0,0,13.0,2,Unknown,Southampton,True
0,female,29.0,0,4,21.075,3,Unknown,Southampton,False
0,male,49.0,1,1,110.8833,1,C,Cherbourg,False
1,male,29.0,0,0,9.5,3,Unknown,Southampton,True
0,female,2.0,3,2,27.9,3,Unknown,Southampton,False
0,female,25.0,1,2,151.55,1,C,Southampton,False
0,female,18.0,2,0,18.0,3,Unknown,Southampton,False
0,male,47.0,0,0,25.5875,1,E,Southampton,True
0,male,20.5,0,0,7.25,3,Unknown,Southampton,True
1,female,22.0,1,1,29.0,2,Unknown,Southampton,False
1,female,24.0,1,2,65.0,2,Unknown,Southampton,False
1,female,39.0,1,0,55.9,1,E,Southampton,False
0,male,40.0,0,0,0.0,1,B,Southampton,True
0,male,19.0,0,0,10.1708,3,Unknown,Southampton,True
0,male,25.0,0,0,7.7417,3,Unknown,Queenstown,True
0,male,47.0,0,0,38.5,1,E,Southampton,True
1,female,24.0,0,3,19.2583,3,Unknown,Cherbourg,False
1,male,32.0,0,0,8.05,3,E,Southampton,True
0,male,39.0,0,0,24.15,3,Unknown,Southampton,True
1,male,16.0,0,0,8.05,3,Unknown,Southampton,True
0,male,14.0,4,1,39.6875,3,Unknown,Southampton,False
0,female,26.0,1,0,16.1,3,Unknown,Southampton,False
0,male,43.0,1,1,26.25,2,Unknown,Southampton,False
0,male,51.0,0,0,7.75,3,Unknown,Southampton,True
1,male,32.0,0,0,56.4958,3,Unknown,Southampton,True
0,male,32.0,1,0,15.85,3,Unknown,Southampton,False
1,female,22.0,0,0,7.25,3,Unknown,Southampton,True
0,male,25.0,0,0,7.25,3,Unknown,Southampton,True
1,male,32.0,0,0,7.925,3,Unknown,Southampton,True
0,male,36.0,1,2,27.75,2,Unknown,Southampton,False
0,male,35.0,0,0,7.05,3,Unknown,Southampton,True
1,female,17.0,0,0,12.0,2,Unknown,Cherbourg,True
1,female,22.0,0,2,49.5,1,B,Cherbourg,False
1,female,29.0,1,0,26.0,2,Unknown,Southampton,False
0,male,18.0,0,0,11.5,2,Unknown,Southampton,True
1,male,0.42,0,1,8.5167,3,Unknown,Cherbourg,False
0,male,30.5,0,0,8.05,3,Unknown,Southampton,True
1,male,11.0,1,2,120.0,1,B,Southampton,False
0,male,20.0,0,0,9.5,3,Unknown,Southampton,True
0,male,24.0,0,1,247.5208,1,B,Cherbourg,False
1,female,27.0,0,2,11.1333,3,Unknown,Southampton,False
0,male,21.0,0,0,7.925,3,Unknown,Southampton,True
0,male,25.0,1,0,26.0,2,Unknown,Southampton,False
0,female,21.0,0,0,7.75,3,Unknown,Queenstown,True
0,male,24.5,0,0,8.05,3,Unknown,Southampton,True
0,male,43.0,0,0,6.45,3,Unknown,Southampton,True
0,male,22.0,0,0,7.5208,3,Unknown,Southampton,True
1,female,36.0,0,0,135.6333,1,C,Cherbourg,True
0,male,18.0,1,1,7.8542,3,Unknown,Southampton,False
0,male,21.0,0,0,8.05,3,Unknown,Southampton,True
1,female,5.0,1,2,27.75,2,Unknown,Southampton,False
0,male,28.5,0,0,7.2292,3,Unknown,Cherbourg,True
0,male,71.0,0,0,34.6542,1,A,Cherbourg,True
0,male,24.0,0,0,7.05,3,Unknown,Southampton,True
1,male,32.0,0,0,7.8542,3,Unknown,Southampton,True
0,male,29.0,0,0,30.0,1,D,Southampton,True
1,female,23.0,3,2,263.0,1,C,Southampton,False
0,male,20.0,0,0,8.05,3,Unknown,Southampton,True
1,female,18.0,1,0,227.525,1,C,Cherbourg,False
0,female,25.0,1,0,7.925,3,Unknown,Southampton,False
0,male,51.0,0,0,8.05,3,Unknown,Southampton,True
0,male,30.0,0,0,27.75,1,C,Cherbourg,True
0,male,10.0,3,2,27.9,3,Unknown,Southampton,False
0,female,30.0,0,0,8.6625,3,Unknown,Southampton,True
1,female,39.0,1,1,79.65,1,E,Southampton,False
0,male,31.0,1,0,52.0,1,B,Southampton,False
0,male,27.0,0,0,13.0,2,Unknown,Southampton,True
1,female,21.0,0,0,77.9583,1,D,Southampton,True
0,female,18.0,0,0,6.75,3,Unknown,Queenstown,True
0,male,38.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,41.0,0,1,19.5,2,Unknown,Southampton,False
0,male,61.0,0,0,32.3208,1,D,Southampton,True
0,male,38.0,0,0,7.05,3,Unknown,Southampton,True
0,male,23.0,0,0,10.5,2,Unknown,Southampton,True
1,female,22.0,1,2,41.5792,2,Unknown,Cherbourg,False
0,male,33.0,0,0,8.6542,3,Unknown,Southampton,True
0,male,19.0,3,2,263.0,1,C,Southampton,False
0,male,2.0,4,1,29.125,3,Unknown,Queenstown,False
0,female,37.0,0,0,9.5875,3,Unknown,Southampton,True
0,male,23.0,0,0,9.225,3,Unknown,Southampton,True
0,male,44.0,0,0,8.05,3,Unknown,Southampton,True
0,male,8.0,4,1,29.125,3,Unknown,Queenstown,False
0,female,38.0,0,0,13.0,2,Unknown,Southampton,True
0,male,21.0,0,0,7.775,3,Unknown,Southampton,True
0,male,9.0,5,2,46.9,3,Unknown,Southampton,False
0,male,26.0,1,0,7.8542,3,Unknown,Southampton,False
1,female,1.0,1,1,11.1333,3,Unknown,Southampton,False
1,female,40.0,0,0,153.4625,1,C,Southampton,True
0,male,30.0,0,0,13.0,2,Unknown,Southampton,True
1,female,3.0,1,2,41.5792,2,Unknown,Cherbourg,False
1,female,4.0,2,1,39.0,2,F,Southampton,False
1,female,31.0,1,1,26.25,2,Unknown,Southampton,False
1,female,45.0,1,1,26.25,2,Unknown,Southampton,False
1,female,4.0,1,1,16.7,3,G,Southampton,False
0,male,28.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,38.0,1,5,31.3875,3,Unknown,Southampton,False
0,female,45.0,0,0,7.75,3,Unknown,Southampton,True
1,male,56.0,0,0,35.5,1,A,Cherbourg,True
0,male,47.0,0,0,9.0,3,Unknown,Southampton,True
0,male,64.0,1,4,263.0,1,C,Southampton,False
0,male,19.0,1,0,53.1,1,D,Southampton,False
0,male,30.0,1,0,16.1,3,Unknown,Southampton,False
1,female,50.0,0,0,10.5,2,Unknown,Southampton,True
0,female,2.0,4,2,31.275,3,Unknown,Southampton,False
1,male,4.0,1,1,11.1333,3,Unknown,Southampton,False
1,female,24.0,0,0,13.0,2,F,Southampton,True
0,male,21.0,0,0,8.05,3,Unknown,Southampton,True
1,female,35.0,1,0,83.475,1,C,Southampton,False
0,male,23.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,35.0,1,0,52.0,1,Unknown,Southampton,False
1,male,3.0,1,1,26.0,2,F,Southampton,False
1,female,34.0,0,1,23.0,2,Unknown,Southampton,False
0,female,9.0,4,2,31.275,3,Unknown,Southampton,False
0,male,29.0,0,0,8.05,3,Unknown,Southampton,True
0,male,64.0,0,0,26.0,1,Unknown,Southampton,True
0,male,24.0,0,0,10.5,2,Unknown,Southampton,True
0,male,45.0,0,0,35.5,1,T,Southampton,True
0,female,24.0,0,0,8.85,3,Unknown,Southampton,True
0,female,17.0,0,0,14.4583,3,Unknown,Cherbourg,True
0,male,28.0,0,0,7.7958,3,Unknown,Southampton,True
0,female,9.0,2,2,34.375,3,Unknown,Southampton,False
1,female,16.0,0,0,7.7333,3,Unknown,Queenstown,True
0,male,23.0,0,0,13.0,2,Unknown,Southampton,True
0,male,23.5,0,0,7.2292,3,Unknown,Cherbourg,True
0,male,22.0,1,0,7.25,3,Unknown,Southampton,False
0,male,33.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,19.0,0,0,8.05,3,Unknown,Southampton,True
1,male,80.0,0,0,30.0,1,A,Southampton,True
1,female,13.0,0,1,19.5,2,Unknown,Southampton,False
1,female,40.0,0,0,13.0,2,Unknown,Southampton,True
1,male,27.0,0,0,7.7958,3,Unknown,Southampton,True
0,male,33.0,0,0,8.6625,3,Unknown,Cherbourg,True
0,female,21.0,1,0,9.825,3,Unknown,Southampton,False
0,female,10.0,0,2,24.15,3,Unknown,Southampton,False
0,male,28.0,0,0,13.0,2,Unknown,Southampton,True
1,female,4.0,1,1,23.0,2,Unknown,Southampton,False
0,male,9.0,4,2,31.3875,3,Unknown,Southampton,False
0,male,45.0,0,0,26.55,1,B,Southampton,True
0,male,70.0,1,1,71.0,1,B,Southampton,False
0,female,18.0,0,0,7.775,3,Unknown,Southampton,True
0,male,23.0,0,0,13.0,2,Unknown,Southampton,True
0,male,29.0,1,0,66.6,1,C,Southampton,False
0,male,23.0,0,0,13.0,2,Unknown,Southampton,True
0,male,19.0,0,0,7.65,3,F,Southampton,True
0,male,45.0,1,0,83.475,1,C,Southampton,False
0,male,61.0,0,0,6.2375,3,Unknown,Southampton,True
0,male,30.0,0,0,7.225,3,Unknown,Cherbourg,True
0,male,32.0,0,0,7.75,3,Unknown,Queenstown,True
0,male,31.0,0,0,7.75,3,Unknown,Queenstown,True
1,female,19.0,0,2,26.2833,1,D,Southampton,False
0,female,39.0,1,5,31.275,3,Unknown,Southampton,False
0,male,18.0,0,0,7.775,3,Unknown,Southampton,True
0,female,28.0,1,1,14.4,3,Unknown,Southampton,False
0,male,45.0,0,0,6.975,3,Unknown,Southampton,True
1,male,48.0,0,0,26.55,1,E,Southampton,True
0,male,34.0,0,0,13.0,2,Unknown,Southampton,True
1,female,24.0,2,3,18.75,2,Unknown,Southampton,False
1,male,38.0,1,0,90.0,1,C,Southampton,False
1,female,1.0,0,2,15.7417,3,Unknown,Cherbourg,False
0,female,11.0,4,2,31.275,3,Unknown,Southampton,False
1,male,51.0,0,0,26.55,1,E,Southampton,True
0,male,36.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,51.0,0,1,61.3792,1,Unknown,Cherbourg,False
0,male,28.5,0,0,16.1,3,Unknown,Southampton,True
0,male,18.0,0,0,7.75,3,Unknown,Southampton,True
0,male,29.0,0,0,7.775,3,Unknown,Southampton,True
0,male,24.0,2,0,24.15,3,Unknown,Southampton,False
0,male,32.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,56.0,0,1,83.1583,1,C,Cherbourg,False
1,male,52.0,0,0,30.5,1,C,Southampton,True
1,male,39.0,0,0,7.925,3,Unknown,Southampton,True
1,male,27.0,0,0,8.6625,3,Unknown,Southampton,True
0,male,30.0,0,0,13.0,2,Unknown,Southampton,True
0,female,50.0,0,0,28.7125,1,C,Cherbourg,True
1,female,36.0,1,0,26.0,2,Unknown,Southampton,False
1,female,28.0,0,0,12.65,2,Unknown,Southampton,True
1,female,15.0,0,0,8.0292,3,Unknown,Queenstown,True
1,female,27.0,0,0,7.925,3,Unknown,Southampton,True
1,female,30.0,3,0,21.0,2,Unknown,Southampton,False
1,male,21.0,0,0,7.7958,3,Unknown,Southampton,True
1,male,0.83,1,1,18.75,2,Unknown,Southampton,False
0,male,39.0,1,5,31.275,3,Unknown,Southampton,False
0,male,32.0,0,0,7.925,3,Unknown,Southampton,True
0,male,66.0,0,0,10.5,2,Unknown,Southampton,True
0,male,70.0,0,0,10.5,2,Unknown,Southampton,True
0,male,22.0,0,0,7.25,3,Unknown,Southampton,True
0,female,9.0,3,2,27.9,3,Unknown,Southampton,False
0,male,16.0,0,0,8.05,3,Unknown,Southampton,True
1,female,30.0,0,0,56.9292,1,E,Cherbourg,True
0,female,3.0,3,1,21.075,3,Unknown,Southampton,False
1,female,16.0,0,1,39.4,1,D,Southampton,False
1,male,2.0,1,1,26.0,2,F,Southampton,False
1,female,44.0,0,0,27.7208,1,B,Cherbourg,True
0,male,30.0,0,0,8.05,3,Unknown,Southampton,True
1,female,27.0,1,0,13.8583,2,Unknown,Cherbourg,False
1,female,19.0,0,0,26.0,2,Unknown,Southampton,True
0,male,40.0,1,4,27.9,3,Unknown,Southampton,False
0,male,19.0,0,0,6.75,3,Unknown,Queenstown,True
1,male,27.0,0,0,30.5,1,Unknown,Southampton,True
0,male,42.0,1,0,27.0,2,Unknown,Southampton,False
0,female,57.0,0,0,10.5,2,E,Southampton,True
0,male,21.0,0,0,7.25,3,Unknown,Southampton,True
0,male,25.0,0,0,7.65,3,F,Southampton,True
1,female,18.0,0,2,79.65,1,E,Southampton,False
0,male,7.0,4,1,29.125,3,Unknown,Queenstown,False
0,male,42.0,0,0,8.6625,3,Unknown,Southampton,True
0,male,35.0,0,0,26.0,2,Unknown,Southampton,True
1,female,30.0,0,0,13.0,2,Unknown,Southampton,True
0,male,26.0,0,0,8.05,3,Unknown,Southampton,True
1,female,40.0,1,1,134.5,1,E,Cherbourg,False
1,male,26.0,0,0,30.0,1,C,Cherbourg,True
1,female,18.0,0,1,9.35,3,Unknown,Southampton,False
1,female,8.0,0,2,26.25,2,Unknown,Southampton,False
0,male,20.0,0,0,9.8458,3,Unknown,Southampton,True
0,male,46.0,0,0,79.2,1,B,Cherbourg,True
0,male,30.0,0,0,8.05,3,Unknown,Southampton,True
0,male,21.0,2,0,73.5,2,Unknown,Southampton,False
0,male,22.0,0,0,9.35,3,Unknown,Southampton,True
0,male,20.0,0,0,4.0125,3,Unknown,Cherbourg,True
0,male,28.0,0,0,13.5,2,Unknown,Southampton,True
0,male,36.0,0,0,7.4958,3,Unknown,Southampton,True
1,female,24.0,2,1,27.0,2,Unknown,Southampton,False
0,male,36.0,1,1,24.15,3,Unknown,Southampton,False
1,male,1.0,1,2,20.575,3,Unknown,Southampton,False
0,male,19.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,54.0,0,0,51.8625,1,E,Southampton,True
1,female,28.0,1,0,24.0,2,Unknown,Cherbourg,False
0,male,22.0,0,0,7.2292,3,Unknown,Cherbourg,True
0,male,31.0,1,1,26.25,2,Unknown,Southampton,False
1,male,27.0,0,0,76.7292,1,D,Cherbourg,True
1,female,31.0,1,0,113.275,1,D,Cherbourg,False
0,female,31.0,1,0,18.0,3,Unknown,Southampton,False
1,female,29.0,0,0,10.5,2,F,Southampton,True
1,female,48.0,0,0,25.9292,1,D,Southampton,True
0,female,23.0,0,0,7.925,3,Unknown,Southampton,True
1,female,35.0,1,0,53.1,1,C,Southampton,False
0,male,47.0,0,0,7.25,3,Unknown,Southampton,True
1,male,32.0,1,0,26.0,2,Unknown,Southampton,False
0,male,22.0,0,0,7.7958,3,Unknown,Southampton,True
1,female,52.0,1,1,93.5,1,B,Southampton,False
0,male,25.0,1,0,17.8,3,Unknown,Southampton,False
1,female,32.5,0,0,13.0,2,E,Southampton,True
1,female,22.0,0,1,55.0,1,E,Southampton,False
0,male,50.0,1,0,106.425,1,C,Cherbourg,False
0,male,28.0,0,0,7.8542,3,Unknown,Southampton,True
0,male,28.0,1,0,82.1708,1,Unknown,Cherbourg,False
0,male,39.0,0,0,26.0,2,Unknown,Southampton,True
1,female,31.0,1,1,20.525,3,Unknown,Southampton,False
1,female,17.0,4,2,7.925,3,Unknown,Southampton,False
1,male,29.0,0,0,7.8958,3,Unknown,Cherbourg,True
1,male,30.0,0,0,9.5,3,Unknown,Southampton,True
0,male,21.0,0,0,7.8,3,Unknown,Southampton,True
0,female,24.0,0,0,13.0,2,Unknown,Southampton,True
0,male,24.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,45.0,1,1,164.8667,1,Unknown,Southampton,False
0,male,38.0,0,0,8.6625,3,Unknown,Southampton,True
0,male,48.0,0,0,13.0,2,Unknown,Southampton,True
0,male,30.0,0,0,10.5,2,Unknown,Southampton,True
0,male,18.0,0,0,11.5,2,Unknown,Southampton,True
1,female,28.0,0,0,13.0,2,Unknown,Southampton,True
0,male,32.0,2,0,73.5,2,Unknown,Southampton,False
0,male,22.0,0,0,7.125,3,Unknown,Southampton,True
