survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
1,female,33.0,0,0,86.5,1,B,Southampton,True
0,male,24.0,0,0,9.5,3,Unknown,Southampton,True
1,female,36.0,1,0,17.4,3,Unknown,Southampton,False
1,male,60.0,1,1,79.2,1,B,Cherbourg,False
1,female,52.0,1,0,78.2667,1,D,Cherbourg,False
0,male,21.0,1,0,11.5,2,Unknown,Southampton,False
0,female,22.0,0,0,10.5167,3,Unknown,Southampton,True
0,female,30.5,0,0,7.75,3,Unknown,Queenstown,True
0,male,24.0,0,0,8.05,3,Unknown,Southampton,True
0,male,36.0,1,0,78.85,1,C,Southampton,False
1,female,35.0,0,0,21.0,2,Unknown,Southampton,True
1,female,25.0,0,1,26.0,2,Unknown,Southampton,False
0,female,2.0,0,1,10.4625,3,G,Southampton,False
1,female,36.0,0,0,13.0,2,Unknown,Southampton,True
0,male,29.0,0,0,10.5,2,Unknown,Southampton,True
1,male,32.0,0,0,30.5,1,B,Cherbourg,True
0,male,65.0,0,0,26.55,1,E,Southampton,True
0,male,50.0,0,0,8.05,3,Unknown,Southampton,True
0,male,31.0,0,0,7.775,3,Unknown,Southampton,True
0,male,21.0,0,0,8.4333,3,Unknown,Southampton,True
1,female,19.0,1,0,7.8542,3,Unknown,Southampton,False
0,male,37.0,1,0,26.0,2,Unknown,Southampton,False
0,male,35.0,0,0,8.05,3,Unknown,Southampton,True
0,male,16.0,0,0,9.5,3,Unknown,Southampton,True
0,male,39.0,0,0,0.0,1,A,Southampton,True
1,female,27.0,0,0,10.5,2,E,Southampton,True
0,female,47.0,1,0,14.5,3,Unknown,Southampton,False
0,male,17.0,1,1,7.2292,3,Unknown,Cherbourg,False
0,male,23.0,2,1,11.5,2,Unknown,Southampton,False
0,male,17.0,1,0,7.0542,3,Unknown,Southampton,False
0,male,14.0,5,2,46.9,3,Unknown,Southampton,False
1,male,23.0,0,1,63.3583,1,D,Cherbourg,False
0,male,19.0,1,1,36.75,2,Unknown,Southampton,False
1,female,54.0,1,0,59.4,1,Unknown,Cherbourg,False
0,male,41.0,2,0,14.1083,3,Unknown,Southampton,False
0,male,42.0,0,0,13.0,2,Unknown,Southampton,True
0,female,16.0,5,2,46.9,3,Unknown,Southampton,False
0,male,19.0,0,0,13.0,2,Unknown,Southampton,True
0,male,28.0,0,0,22.525,3,Unknown,Southampton,True
1,female,30.0,0,0,31.0,1,Unknown,Cherbourg,True
1,female,35.0,0,0,512.3292,1,Unknown,Cherbourg,True
0,male,16.0,0,0,7.775,3,Unknown,Southampton,True
0,male,18.0,0,0,7.7958,3,Unknown,Southampton,True
0,male,26.0,0,0,10.5,2,Unknown,Southampton,True
0,male,60.0,0,0,26.55,1,Unknown,Southampton,True
1,female,14.0,1,0,30.0708,2,Unknown,Cherbourg,False
1,male,27.0,1,0,53.1,1,E,Southampton,False
0,male,7.0,4,1,39.6875,3,Unknown,Southampton,False
1,male,36.0,0,0,26.3875,1,E,Southampton,True
0,male,56.0,0,0,30.6958,1,A,Cherbourg,True
0,male,54.0,0,0,14.0,2,Unknown,Southampton,True
1,female,42.0,0,0,227.525,1,Unknown,Cherbourg,True
0,female,43.0,1,6,46.9,3,Unknown,Southampton,False
0,male,20.0,0,0,9.225,3,Unknown,Southampton,True
0,male,34.0,0,0,8.05,3,Unknown,Southampton,True
1,female,30.0,0,0,12.475,3,Unknown,Southampton,True
1,female,22.0,0,0,7.75,3,Unknown,Southampton,True
1,female,23.0,0,0,7.55,3,Unknown,Southampton,True
1,female,17.0,1,0,57.0,1,B,Southampton,False
1,female,31.0,0,0,8.6833,3,Unknown,Southampton,True
1,female,36.0,0,0,13.0,2,D,Southampton,True
0,male,33.0,0,0,9.5,3,Unknown,Southampton,True
0,male,22.0,0,0,135.6333,1,Unknown,Cherbourg,True
0,male,30.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,22.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,32.0,0,0,13.0,2,Unknown,Southampton,True
1,female,19.0,1,0,26.0,2,Unknown,Southampton,False
0,male,39.0,0,0,13.0,2,Unknown,Southampton,True
0,male,62.0,0,0,26.55,1,Unknown,Southampton,True
0,male,4.0,4,2,31.275,3,Unknown,Southampton,False
0,male,38.0,0,1,153.4625,1,C,Southampton,False
1,female,43.0,0,1,211.3375,1,B,Southampton,False
1,female,5.0,2,1,19.2583,3,Unknown,Cherbourg,False
0,male,39.0,0,0,13.0,2,Unknown,Southampton,True
1,female,49.0,1,0,76.7292,1,D,Cherbourg,False
0,male,44.0,0,1,16.1,3,Unknown,Southampton,False
1,female,7.0,0,2,26.25,2,Unknown,Southampton,False
0,male,40.5,0,0,7.75,3,Unknown,Queenstown,True
0,male,27.0,1,0,14.4542,3,Unknown,Cherbourg,False
0,male,18.0,0,0,73.5,2,Unknown,Southampton,True
1,female,24.0,0,2,14.5,2,Unknown,Southampton,False
0,male,31.0,0,0,10.5,2,Unknown,Southampton,True
1,male,45.0,0,0,26.55,1,Unknown,Southampton,True
1,female,4.0,0,2,22.025,3,Unknown,Southampton,False
0,male,40.0,0,0,7.225,3,Unknown,Cherbourg,True
1,male,62.0,0,0,10.5,2,Unknown,Southampton,True
0,male,2.0,4,1,39.6875,3,Unknown,Southampton,False
1,female,18.0,0,0,9.8417,3,Unknown,Southampton,True
0,female,21.0,2,2,34.375,3,Unknown,Southampton,False
0,male,47.0,0,0,15.0,2,Unknown,Southampton,True
0,female,20.0,0,0,8.6625,3,Unknown,Southampton,True
0,male,59.0,0,0,13.5,2,Unknown,Southampton,True
0,male,40.5,0,2,14.5,3,Unknown,Southampton,False
0,male,34.0,0,0,8.05,3,Unknown,Southampton,True
0,male,36.0,0,0,0.0,3,Unknown,Southampton,True
0,male,74.0,0,0,7.775,3,Unknown,Southampton,True
0,female,25.0,0,0,7.775,3,Unknown,Southampton,True
1,male,3.0,1,1,15.9,3,Unknown,Southampton,False
1,female,24.0,0,0,69.3,1,B,Cherbourg,True
1,female,16.0,0,0,86.5,1,B,Southampton,True
0,male,55.5,0,0,8.05,3,Unknown,Southampton,True
0,male,18.0,0,0,13.0,2,Unknown,Southampton,True
0,male,62.0,0,0,26.55,1,C,Southampton,True
1,male,22.0,0,0,7.225,3,Unknown,Cherbourg,True
1,female,24.0,0,0,83.1583,1,C,Cherbourg,True
1,female,44.0,0,1,57.9792,1,B,Cherbourg,False
0,male,25.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,26.0,0,0,7.775,3,Unknown,Southampton,True
1,female,33.0,0,2,26.0,2,Unknown,Southampton,False
0,male,35.0,0,0,10.5,2,Unknown,Southampton,True
1,female,21.0,2,2,262.375,1,B,Cherbourg,False
0,male,37.0,0,1,29.7,1,C,Cherbourg,False
0,male,20.0,0,0,7.925,3,Unknown,Southampton,True
0,male,25.0,1,2,41.5792,2,Unknown,Cherbourg,False
0,female,6.0,4,2,31.275,3,Unknown,Southampton,False
0,male,25.0,0,0,7.225,3,Unknown,Cherbourg,True
1,female,35.0,1,0,90.0,1,C,Southampton,False
0,male,24.0,0,0,13.0,2,Unknown,Southampton,True
1,male,48.0,1,0,76.7292,1,D,Cherbourg,False
0,male,16.0,2,0,18.0,3,Unknown,Southampton,False
1,female,48.0,1,0,39.6,1,A,Cherbourg,False
0,male,26.0,0,0,7.8958,3,Unknown,Southampton,True
1,female,24.0,1,0,15.85,3,Unknown,Southampton,False
1,female,22.0,0,0,7.75,3,Unknown,Queenstown,True
1,female,5.0,0,0,12.475,3,Unknown,Southampton,True
1,female,0.75,2,1,19.2583,3,Unknown,Cherbourg,False
1,female,26.0,0,0,78.85,1,Unknown,Southampton,True
0,male,35.0,0,0,7.8958,3,Unknown,Cherbourg,True
0,female,31.0,0,0,7.8542,3,Unknown,Southampton,True
1,female,34.0,0,0,10.5,2,F,Southampton,True
0,female,30.0,1,1,24.15,3,Unknown,Southampton,False
1,male,34.0,0,0,26.55,1,Unknown,Southampton,True
1,female,30.0,0,0,12.35,2,Unknown,Queenstown,True
0,male,15.0,1,1,7.2292,3,Unknown,Cherbourg,False
1,female,23.0,0,0,13.7917,2,D,Cherbourg,True
1,female,63.0,0,0,9.5875,3,Unknown,Southampton,True
0,male,65.0,0,0,7.75,3,Unknown,Queenstown,True
0,male,28.0,0,1,33.0,2,Unknown,Southampton,False
1,female,29.0,0,0,211.3375,1,B,Southampton,True
1,male,49.0,1,0,56.9292,1,A,Cherbourg,False
1,female,14.0,1,2,120.0,1,B,Southampton,False
0,male,20.0,0,0,7.8542,3,Unknown,Southampton,True
0,male,25.0,0,0,7.05,3,Unknown,Southampton,True
0,male,38.0,0,0,0.0,1,Unknown,Southampton,True
1,male,27.0,0,0,6.975,3,Unknown,Southampton,True
0,male,41.0,0,0,7.125,3,Unknown,Southampton,True
0,female,18.0,0,1,14.4542,3,Unknown,Cherbourg,False
0,female,14.5,1,0,14.4542,3,Unknown,Cherbourg,False
1,male,0.92,1,2,151.55,1,C,Southampton,False
0,male,34.0,0,0,6.4958,3,Unknown,Southampton,True
1,male,20.0,1,0,7.925,3,Unknown,Southampton,False
0,female,18.0,1,0,17.8,3,Unknown,Southampton,False
0,male,60.0,1,1,39.0,2,Unknown,Southampton,False
0,male,30.0,0,0,13.0,2,Unknown,Southampton,True
1,female,36.0,1,2,120.0,1,B,Southampton,False
0,male,33.0,0,0,5.0,1,B,Southampton,True
0,male,16.0,0,0,10.5,2,Unknown,Southampton,True
0,male,32.5,1,0,30.0708,2,Unknown,Cherbourg,False
1,female,24.0,0,0,49.5042,1,C,Cherbourg,True
1,female,50.0,0,1,247.5208,1,B,Cherbourg,False
0,male,50.0,0,0,13.0,2,Unknown,Southampton,True
0,male,54.0,0,0,26.0,2,Unknown,Southampton,True
0,male,42.0,0,0,7.65,3,F,Southampton,True
0,male,25.0,0,0,7.05,3,Unknown,Southampton,True
1,female,30.0,0,0,86.5,1,B,Southampton,True
0,male,71.0,0,0,49.5042,1,Unknown,Cherbourg,True
0,male,17.0,0,0,8.6625,3,Unknown,Southampton,True
1,male,0.67,1,1,14.5,2,Unknown,Southampton,False
1,male,25.0,0,0,0.0,3,Unknown,Southampton,True
0,male,35.0,0,0,8.05,3,Unknown,Southampton,True
0,male,30.0,0,0,7.2292,3,Unknown,Cherbourg,True
1,male,31.0,1,0,57.0,1,B,Southampton,False
1,male,12.0,1,0,11.2417,3,Unknown,Cherbourg,False
0,male,34.0,0,0,13.0,2,Unknown,Southampton,True
1,male,36.0,0,0,26.2875,1,E,Southampton,True
0,male,32.0,0,0,7.925,3,Unknown,Southampton,True
0,male,4.0,3,2,27.9,3,Unknown,Southampton,False
0,female,27.0,1,0,21.0,2,Unknown,Southampton,False
0,male,54.0,1,0,26.0,2,Unknown,Southampton,False
0,male,28.0,0,0,56.4958,3,Unknown,Southampton,True
0,male,42.0,1,0,52.0,1,Unknown,Southampton,False
1,female,18.0,0,0,7.4958,3,Unknown,Southampton,True
0,male,22.0,0,0,7.8958,3,Unknown,Southampton,True
1,male,42.0,1,0,52.5542,1,D,Southampton,False
0,male,34.0,1,0,21.0,2,Unknown,Southampton,False
0,male,29.0,1,0,27.7208,2,Unknown,Cherbourg,False
0,male,39.0,0,0,7.925,3,Unknown,Southampton,True
0,male,55.0,0,0,30.5,1,C,Southampton,True
0,male,16.0,1,1,20.25,3,Unknown,Southampton,False
0,male,51.0,0,0,7.0542,3,Unknown,Southampton,True
0,male,21.0,0,0,7.925,3,Unknown,Southampton,True
0,male,28.0,0,0,47.1,1,Unknown,Southampton,True
0,male,49.0,0,0,0.0,3,Unknown,Southampton,True
1,female,40.0,0,0,15.75,2,Unknown,Southampton,True
0,male,31.0,0,0,50.4958,1,A,Southampton,True
1,male,50.0,2,0,133.65,1,Unknown,Southampton,False
1,female,33.0,3,0,15.85,3,Unknown,Southampton,False
1,female,55.0,0,0,16.0,2,Unknown,Southampton,True
0,male,42.0,0,1,8.4042,3,Unknown,Southampton,False
0,male,65.0,0,1,61.9792,1,B,Cherbourg,False
0,male,21.0,0,0,16.1,3,Unknown,Southampton,True
0,male,29.0,1,0,7.0458,3,Unknown,Southampton,False
1,female,5.0,4,2,31.3875,3,Unknown,Southampton,False
1,female,35.0,0,0,135.6333,1,C,Southampton,True
0,male,32.0,0,0,10.5,2,Unknown,Southampton,True
0,male,29.0,0,0,7.875,3,Unknown,Southampton,True
0,male,18.0,1,0,6.4958,3,Unknown,Southampton,False
1,female,26.0,0,0,7.8542,3,Unknown,Southampton,True
0,male,36.0,0,0,40.125,1,A,Cherbourg,True
1,female,34.0,0,0,13.0,2,Unknown,Southampton,True
1,female,19.0,0,0,30.0,1,B,Southampton,True
1,female,41.0,0,0,134.5,1,E,Cherbourg,True
0,female,29.0,1,1,10.4625,3,G,Southampton,False
1,male,18.0,0,0,8.05,3,Unknown,Southampton,True
1,male,35.0,0,0,26.2875,1,E,Southampton,True
0,male,18.0,1,0,108.9,1,C,Cherbourg,False
0,male,36.0,1,0,15.55,3,Unknown,Southampton,False
0,male,25.0,0,0,13.0,2,Unknown,Southampton,True
0,male,29.0,0,0,9.4833,3,Unknown,Southampton,True
1,male,9.0,1,1,15.9,3,Unknown,Southampton,False
1,female,38.0,1,0,71.2833,1,C,Cherbourg,False
0,male,18.0,0,0,8.3,3,Unknown,Southampton,True
1,male,42.0,0,0,26.2875,1,E,Southampton,True
0,male,37.0,2,0,7.925,3,Unknown,Southampton,False
1,female,29.0,0,2,15.2458,3,Unknown,Cherbourg,False
1,female,19.0,0,0,7.8792,3,Unknown,Queenstown,True
1,female,0.75,2,1,19.2583,3,Unknown,Cherbourg,False
1,female,36.0,0,2,71.0,1,B,Southampton,False
0,male,19.0,0,0,14.5,3,Unknown,Southampton,True
1,female,50.0,0,0,10.5,2,Unknown,Southampton,True
0,male,29.0,1,0,21.0,2,Unknown,Southampton,False
0,male,18.0,1,1,20.2125,3,Unknown,Southampton,False
1,male,48.0,1,0,52.0,1,C,Southampton,False
0,male,17.0,0,0,7.125,3,Unknown,Southampton,True
0,male,19.0,0,0,0.0,3,Unknown,Southampton,True
0,female,14.0,0,0,7.8542,3,Unknown,Southampton,True
1,female,24.0,0,2,16.7,3,G,Southampton,False
1,female,48.0,1,2,65.0,2,Unknown,Southampton,False
0,male,58.0,0,0,29.7,1,B,Cherbourg,True
1,female,24.0,3,2,263.0,1,C,Southampton,False
1,male,40.0,0,0,31.0,1,A,Cherbourg,True
0,male,28.0,0,0,10.5,2,Unknown,Southampton,True
0,male,26.0,0,0,7.8875,3,Unknown,Southampton,True
0,male,34.0,1,1,14.4,3,Unknown,Southampton,False
1,female,47.0,1,1,52.5542,1,D,Southampton,False
0,female,41.0,0,5,39.6875,3,Unknown,Southampton,False
1,female,17.0,1,0,108.9,1,C,Cherbourg,False
0,male,52.0,0,0,13.0,2,Unknown,Southampton,True
1,female,22.0,0,0,151.55,1,Unknown,Southampton,True
0,male,44.0,1,0,26.0,2,Unknown,Southampton,False
1,male,35.0,0,0,26.55,1,Unknown,Cherbourg,True
0,male,19.0,0,0,7.8958,3,Unknown,Southampton,True
1,male,0.83,0,2,29.0,2,Unknown,Southampton,False
0,male,44.0,0,0,8.05,3,Unknown,Southampton,True
1,female,45.0,0,0,13.5,2,Unknown,Southampton,True
1,female,24.0,1,0,26.0,2,Unknown,Southampton,False
0,female,8.0,3,1,21.075,3,Unknown,Southampton,False
0,male,28.0,2,0,7.925,3,Unknown,Southampton,False
1,female,39.0,1,1,110.8833,1,C,Cherbourg,False
0,male,45.5,0,0,7.225,3,Unknown,Cherbourg,True
0,male,36.0,0,0,13.0,2,Unknown,Southampton,True
0,male,19.0,0,0,10.5,2,Unknown,Southampton,True
1,male,25.0,1,0,91.0792,1,B,Cherbourg,False
1,female,30.0,0,0,93.5,1,B,Southampton,True
0,male,21.0,0,0,7.8542,3,Unknown,Southampton,True
1,male,28.0,0,0,26.55,1,C,Southampton,True
0,male,1.0,5,2,46.9,3,Unknown,Southampton,False
1,female,15.0,1,0,14.4542,3,Unknown,Cherbourg,False
0,male,17.0,0,0,8.6625,3,Unknown,Southampton,True
0,male,23.0,0,0,7.8542,3,Unknown,Southampton,True
1,male,24.0,0,0,7.1417,3,Unknown,Southampton,True
0,male,56.0,0,0,26.55,1,Unknown,Southampton,True
0,female,20.0,1,0,9.825,3,Unknown,Southampton,False
1,female,25.0,1,1,30.0,2,Unknown,Southampton,False
1,female,33.0,1,0,90.0,1,C,Queenstown,False
1,male,25.0,1,0,7.775,3,Unknown,Southampton,False
0,male,35.0,0,0,7.125,3,Unknown,Southampton,True
1,female,22.0,1,0,66.6,1,C,Southampton,False
0,male,48.0,0,0,7.8542,3,Unknown,Southampton,True
1,male,28.0,0,0,35.5,1,A,Southampton,True
0,male,19.0,0,0,7.8958,3,Unknown,Southampton,True
0,male,26.0,1,2,20.575,3,Unknown,Southampton,False
0,male,23.0,0,0,15.0458,2,Unknown,Cherbourg,True
1,male,45.0,0,0,8.05,3,Unknown,Southampton,True
1,male,8.0,1,1,36.75,2,Unknown,Southampton,False
0,male,20.0,0,0,7.05,3,Unknown,Southampton,True
